Text | Page
127_Sign_the_declarations_of_honour_(DoH) | 49
128_Joint_and_several_liability_of_Affiliated_Entities_(if_required) | 49
129_&_Prefinancing_guarantee_(if_required) | 49
130_Deadlines | 50
131_5.2.4.2_Final_legal_checks | 50
132_5.2.5_Grant_signature | 51
133_O_Lear | 51
134_&_LEAR_appoints_all_LSIGNs_and_FSIGNs_for_the_organisation | 51
135_&_Paco_selects_LSIGN_and_FSIGN_for_project | 52
136_Signing_the_Grant_Agreement | 52
137_&_Grant_agreement_ready_for_signature | 52
138_Granting_authority_signs_the_Grant_Agreement | 53
139_Participants_sign_the_Accession_forms | 53
140_Grant_Agreement_is_finalised | 53
141_Not_signed_Grant_Agreement | 53
142_Project_starting_cate | 53
143_Prefinancing | 54
144_3.2.6_Complaints_about_proposal_rejection | 54
145_5.5_Grant_management | 55
146_3.5.1_Keeping_records | 55
147_5.3.2_Amendments | 55
148_Actions_to_be_completed_before_amendment | 57
149_WY_Make_sure_new_participants_are_registered_and_validated_(PIC) | 57
150_Submitting_an_amendment | 57
151_Y_Get_ready | 57
152_&_|aunch_the_amendment | 57
153_Upload_annexes_and_supporting_documents | 58
154_Consult_Granting_Authority | 58
155_&_|nformal_assessment_by_the_Granting_Authority | 58
156_Coordinator_signs_&_submits_the_amendment_request | 58
157_&_Formal_assessment_by_the_Granting_Authority | 58
158_WY_Granting_authority_signs_the_amendment | 59
159_Entry_into_force_&_taking_effect | 59
160_Coordinator_change_without_their_agreement | 59
161_Amendments_initiated_by_the_Granting_Authority | 59
162_3.3.5_Continuous_reporting_on_milestones_&_deliverables | 60
163_oh_|_lbaclata_tan_celal_pees_kl_aw_(U@)How_To | 61
164_&_Update_the_deliverables_WZ" | 61
165_5.3.4_Reports_&_payment_requests | 61
166_Certificate_on_the_Financial_Statements_(CFS) | 63
167_Submitting_the_periodic_reports | 63
168_©_LInload_Part_B_of_the_technical_renort_@p_ow_to | 64
169_Coordinator_approves_Partners’_financial_reports | 64
170_Missing_statements | 64
171_7_Submit_the_report_to_the_Granting_Authority | 64
172_Acceptance_or_rejection_by_the_Granting_Authority | 64
173_YW_Payment | 65
174_Final_report | 65
175_Beneficiary_termination_reporting | 65
176_eee_Links_pO | 65
177_3.3.5_Communicating_your_project_—_Acknowledgement_of_EU_funding | 65
178_What_does_communication_involve? | 66
179_Good_communication | 66
180_Acknowledgement_of_EU_funding | 66
181_3.5.6_Dissemination_&_exploitation_of_project_results | 67
182_5.3.7_Checks,_audits,_reviews_&_investigations | 67
183_Project_reviews_row_0 | 67
184_Audits_@row_10 | 67
185_Anti-fraud_strategy_—_OLAF_investigations | 68
186_Related_Certifications | 68
187_Certificate_on_the_methodology_for_unit_cost_(COMUC) | 68
188_TTS_po | 68
189_3.3.8_Communicating_with_the_Granting_Authority | 69
190_Formal_notification | 69
191_Portal_Messaging_Facility | 69
192_4._Procurement | 69
193_5._Prizes | 69
194_6._Financial_instruments | 69
195_7._Working_as_an_expert | 69
196_Introduction | 70
197_In_depth_-_working_as_an_expert: | 70
198_TRS_pO | 71
199_7.1_Expert_registration | 71
200_Privacy | 71
201_Selection_of_experts | 71
202_7.2_Signing_a_contract_and_payment | 72
203_Contracts | 72
204_Your_correspondence_with_the_EU_services | 72
205_Signing_the_contract | 73
206_Code_of_conduct | 73
207_Conflicts_of_interest | 73
208_Conflict_of_Interest_impact? | 73
209_Confidentiality | 73
210_Amount_of_the_payment | 74
211_•_accommodation_allowance_is_EUR_100_per_night | 75
212_Other_expenses | 75
213_Taxation_issues | 75
214_Disabilities | 75
215_Keeping_supporting_documents: | 75
216_7.3_Experts_roles_and_tasks | 76
217_Roles_and_tasks_assigned_to_experts | 76
218_Proposal-evaluation_process | 76
219_Award_criteria | 76
220_Monitoring_projects_(Technical_review) | 78
221_Types_of_project_monitoring | 78
222_Monitoring_process | 79
223_8._Help | 79
